CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
B M W ,X5    ,GRY,2025,18
B M W ,X5    ,GRY,2026,13
B M W ,X5    ,WHI,2025,4
B M W ,X5    ,WHI,2026,4
B M W ,X5 30D,BLK,2025,3
B M W ,X5 30D,BLK,2026,7
B M W ,X5 30D,BLU,2026,2
B M W ,X5 30D,GRY,2025,2
B M W ,X5 30D,GRY,2026,1
B M W ,X5 30D,WHI,2026,2
B M W ,X5 40I,BLK,2025,2
B M W ,X5 40I,GRY,2026,1
B M W ,X5 40I,WHI,2025,1
B M W ,X5 50E,BLK,2025,1
B M W ,X5 50E,BLU,2026,1
B M W ,X5 50E,GRY,2025,1
B M W ,X5 50E,GRY,2026,2
B M W ,X5 M  ,BLU,2026,1
B M W ,X5 M60,BLK,2026,1
B M W ,X5 M60,GRY,2026,1
B M W ,X5 M60,WHI,2025,1
B M W ,X5 M60,WHI,2026,2
B M W ,X5 XDR,BLK,2026,1
B M W ,X5 XDR,GRY,2026,3
B M W ,X5 XDR,WHI,2025,1
B M W ,X6    ,BLK,2026,1
B M W ,X6    ,BLU,2026,1
B M W ,X6    ,GRY,2026,2
B M W ,X6 30D,BLK,2025,1
B M W ,X6 30D,BLK,2026,1
B M W ,X6 30D,GRY,2026,1
B M W ,X6 30D,WHI,2025,1
B M W ,X6 40I,BLK,2026,1
B M W ,X6 40I,GRY,2026,1
B M W ,X6 40I,WHI,2026,1
B M W ,X6 M60,BLK,2025,1
B M W ,X6 M60,BLU,2026,1
B M W ,X6 XDR,BLK,2026,1
B M W ,X6 XDR,GRY,2025,1
B M W ,X6 XDR,WHI,2025,1
B M W ,X7    ,BLK,2025,5
B M W ,X7    ,BLK,2026,1
B M W ,X7    ,BLU,2025,1
B M W ,X7    ,BLU,2026,1
B M W ,X7    ,GRY,2025,3
B M W ,X7    ,GRY,2026,3
B M W ,X7    ,WHI,2025,1
B M W ,X7 40D,BLK,2025,1
B M W ,X7 40D,BLK,2026,3
B M W ,X7 40D,BLU,2025,1
B M W ,X7 40D,WHI,2026,1
B M W ,X7 40I,GRY,2026,1
B M W ,X7 M60,BLK,2025,1
B M W ,X7 M60,BLK,2026,2
B M W ,X7 M60,GRY,2025,2
B M W ,X7 XDR,WHI,2025,1
B Y D ,ATT0 2,BLK,2026,1
B Y D ,ATTO  ,BLK,2026,3
B Y D ,ATTO  ,BLU,2026,2
B Y D ,ATTO  ,GRN,2025,1
B Y D ,ATTO  ,GRN,2026,7
B Y D ,ATTO  ,GRY,2026,4
B Y D ,ATTO  ,SIL,2026,1
B Y D ,ATTO  ,WHI,2025,3
B Y D ,ATTO  ,WHI,2026,8
B Y D ,ATTO 1,BLK,2025,2
B Y D ,ATTO 1,BLK,2026,12
B Y D ,ATTO 1,BLU,2026,12
B Y D ,ATTO 1,GRN,2025,2
B Y D ,ATTO 1,GRN,2026,12
B Y D ,ATTO 1,SIL,2026,1
B Y D ,ATTO 1,WHI,2025,7
B Y D ,ATTO 1,WHI,2026,11
B Y D ,ATTO 2,BLK,2025,6
B Y D ,ATTO 2,BLK,2026,16
B Y D ,ATTO 2,GRN,2026,1
B Y D ,ATTO 2,GRY,2025,8
B Y D ,ATTO 2,GRY,2026,1
B Y D ,ATTO 2,WHI,2025,20
