CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL,CLEAN_MAKE_VEH
B M W ,X2    ,BLK,2025,3,BMW
B M W ,X2    ,BLK,2026,3,BMW
B M W ,X2    ,BLU,2025,1,BMW
B M W ,X2    ,GRY,2025,8,BMW
B M W ,X2    ,GRY,2026,1,BMW
B M W ,X2    ,WHI,2025,1,BMW
B M W ,X2    ,WHI,2026,2,BMW
B M W ,X2 20I,WHI,2025,1,BMW
B M W ,X2 M35,GRY,2025,1,BMW
B M W ,X2 M35,GRY,2026,2,BMW
B M W ,X3    ,BEI,2025,4,BMW
B M W ,X3    ,BEI,2026,1,BMW
B M W ,X3    ,BLK,2025,9,BMW
B M W ,X3    ,BLK,2026,13,BMW
B M W ,X3    ,BLU,2025,6,BMW
B M W ,X3    ,BLU,2026,9,BMW
B M W ,X3    ,GLD,2026,1,BMW
B M W ,X3    ,GRY,2025,13,BMW
B M W ,X3    ,GRY,2026,14,BMW
B M W ,X3    ,RED,2025,2,BMW
B M W ,X3    ,WHI,2025,13,BMW
B M W ,X3    ,WHI,2026,11,BMW
B M W ,X3 20 ,BLK,2026,3,BMW
B M W ,X3 20 ,BLU,2025,2,BMW
B M W ,X3 20 ,BLU,2026,1,BMW
B M W ,X3 20 ,GRY,2025,2,BMW
B M W ,X3 20 ,GRY,2026,4,BMW
B M W ,X3 20 ,WHI,2025,2,BMW
B M W ,X3 20 ,WHI,2026,1,BMW
B M W ,X3 20X,WHI,2025,1,BMW
B M W ,X3 30E,BLK,2025,2,BMW
B M W ,X3 30E,BLK,2026,3,BMW
B M W ,X3 30E,BLU,2025,1,BMW
B M W ,X3 30E,BLU,2026,3,BMW
B M W ,X3 30E,GRY,2025,10,BMW
B M W ,X3 30E,GRY,2026,8,BMW
B M W ,X3 30E,WHI,2025,7,BMW
B M W ,X3 30E,WHI,2026,2,BMW
B M W ,X3 40D,GRY,2026,3,BMW
B M W ,X3 40D,WHI,2026,2,BMW
B M W ,X3 M50,BLK,2025,1,BMW
B M W ,X3 M50,BLK,2026,2,BMW
B M W ,X3 M50,BLU,2025,1,BMW
B M W ,X3 M50,BLU,2026,2,BMW
B M W ,X3 M50,GRY,2025,1,BMW
B M W ,X3 M50,WHI,2025,2,BMW
B M W ,X3 M50,WHI,2026,2,BMW
B M W ,X4    ,BLK,2025,2,BMW
B M W ,X4    ,GRY,2026,1,BMW
B M W ,X4    ,WHI,2025,1,BMW
B M W ,X4    ,WHI,2026,2,BMW
B M W ,X4 30I,GRY,2025,1,BMW
B M W ,X5    ,BLK,2025,2,BMW
B M W ,X5    ,BLK,2026,5,BMW
B M W ,X5    ,BLU,2025,5,BMW
B M W ,X5    ,BLU,2026,1,BMW
B M W ,X5    ,GRN,2025,2,BMW
B M W ,X5    ,GRY,2025,18,BMW
B M W ,X5    ,GRY,2026,13,BMW
B M W ,X5    ,WHI,2025,4,BMW
B M W ,X5    ,WHI,2026,4,BMW
B M W ,X5 30D,BLK,2025,3,BMW
B M W ,X5 30D,BLK,2026,7,BMW
B M W ,X5 30D,BLU,2026,2,BMW
B M W ,X5 30D,GRY,2025,2,BMW
B M W ,X5 30D,GRY,2026,1,BMW
B M W ,X5 30D,WHI,2026,2,BMW
B M W ,X5 40I,BLK,2025,2,BMW
B M W ,X5 40I,GRY,2026,1,BMW
B M W ,X5 40I,WHI,2025,1,BMW
B M W ,X5 50E,BLK,2025,1,BMW
B M W ,X5 50E,BLU,2026,1,BMW
B M W ,X5 50E,GRY,2025,1,BMW
B M W ,X5 50E,GRY,2026,2,BMW
B M W ,X5 M  ,BLU,2026,1,BMW
B M W ,X5 M60,BLK,2026,1,BMW
B M W ,X5 M60,GRY,2026,1,BMW
B M W ,X5 M60,WHI,2025,1,BMW
B M W ,X5 M60,WHI,2026,2,BMW
B M W ,X5 XDR,BLK,2026,1,BMW
B M W ,X5 XDR,GRY,2026,3,BMW
B M W ,X5 XDR,WHI,2025,1,BMW
B M W ,X6    ,BLK,2026,1,BMW
B M W ,X6    ,BLU,2026,1,BMW
B M W ,X6    ,GRY,2026,2,BMW
B M W ,X6 30D,BLK,2025,1,BMW
B M W ,X6 30D,BLK,2026,1,BMW
B M W ,X6 30D,GRY,2026,1,BMW
B M W ,X6 30D,WHI,2025,1,BMW
B M W ,X6 40I,BLK,2026,1,BMW
B M W ,X6 40I,GRY,2026,1,BMW
B M W ,X6 40I,WHI,2026,1,BMW
B M W ,X6 M60,BLK,2025,1,BMW
B M W ,X6 M60,BLU,2026,1,BMW
B M W ,X6 XDR,BLK,2026,1,BMW
B M W ,X6 XDR,GRY,2025,1,BMW
B M W ,X6 XDR,WHI,2025,1,BMW
B M W ,X7    ,BLK,2025,5,BMW
B M W ,X7    ,BLK,2026,1,BMW
B M W ,X7    ,BLU,2025,1,BMW
B M W ,X7    ,BLU,2026,1,BMW
B M W ,X7    ,GRY,2025,3,BMW
B M W ,X7    ,GRY,2026,3,BMW
B M W ,X7    ,WHI,2025,1,BMW
B M W ,X7 40D,BLK,2025,1,BMW
B M W ,X7 40D,BLK,2026,3,BMW
B M W ,X7 40D,BLU,2025,1,BMW
B M W ,X7 40D,WHI,2026,1,BMW
B M W ,X7 40I,GRY,2026,1,BMW
B M W ,X7 M60,BLK,2025,1,BMW
B M W ,X7 M60,BLK,2026,2,BMW
B M W ,X7 M60,GRY,2025,2,BMW
B M W ,X7 XDR,WHI,2025,1,BMW
B Y D ,ATT0 2,BLK,2026,1,BYD
B Y D ,ATTO  ,BLK,2026,3,BYD
B Y D ,ATTO  ,BLU,2026,2,BYD
B Y D ,ATTO  ,GRN,2025,1,BYD
B Y D ,ATTO  ,GRN,2026,7,BYD
B Y D ,ATTO  ,GRY,2026,4,BYD
B Y D ,ATTO  ,SIL,2026,1,BYD
B Y D ,ATTO  ,WHI,2025,3,BYD
B Y D ,ATTO  ,WHI,2026,8,BYD
B Y D ,ATTO 1,BLK,2025,2,BYD
B Y D ,ATTO 1,BLK,2026,12,BYD
B Y D ,ATTO 1,BLU,2026,12,BYD
B Y D ,ATTO 1,GRN,2025,2,BYD
B Y D ,ATTO 1,GRN,2026,12,BYD
B Y D ,ATTO 1,SIL,2026,1,BYD
B Y D ,ATTO 1,WHI,2025,7,BYD
B Y D ,ATTO 1,WHI,2026,11,BYD
B Y D ,ATTO 2,BLK,2025,6,BYD
B Y D ,ATTO 2,BLK,2026,16,BYD
B Y D ,ATTO 2,GRN,2026,1,BYD
B Y D ,ATTO 2,GRY,2025,8,BYD
B Y D ,ATTO 2,GRY,2026,1,BYD
B Y D ,ATTO 2,WHI,2025,20,BYD
B Y D ,ATTO 2,WHI,2026,44,BYD
B Y D ,ATTO 3,BLK,2025,4,BYD
B Y D ,ATTO 3,BLK,2026,7,BYD
B Y D ,ATTO 3,BLU,2026,1,BYD
B Y D ,ATTO 3,GRY,2025,4,BYD
B Y D ,ATTO 3,GRY,2026,22,BYD
B Y D ,ATTO 3,WHI,2025,11,BYD
B Y D ,ATTO 3,WHI,2026,8,BYD
B Y D ,ATTO1 ,BLK,2025,1,BYD
B Y D ,ATTO1 ,BLK,2026,5,BYD
B Y D ,ATTO1 ,BLU,2026,7,BYD
B Y D ,ATTO1 ,GRN,2026,40,BYD
B Y D ,ATTO1 ,SIL,2026,5,BYD
B Y D ,ATTO1 ,WHI,2025,5,BYD
B Y D ,ATTO1 ,WHI,2026,3,BYD
B Y D ,ATTO2 ,BLK,2025,8,BYD
B Y D ,ATTO2 ,BLK,2026,18,BYD
B Y D ,ATTO2 ,GRY,2025,5,BYD
B Y D ,ATTO2 ,WHI,2025,5,BYD
B Y D ,ATTO2 ,WHI,2026,8,BYD
B Y D ,ATTO3 ,BLK,2025,1,BYD
B Y D ,ATTO3 ,BLK,2026,13,BYD
B Y D ,ATTO3 ,GRY,2025,3,BYD
B Y D ,ATTO3 ,GRY,2026,6,BYD
B Y D ,ATTO3 ,WHI,2025,4,BYD
B Y D ,ATTO3 ,WHI,2026,5,BYD
B Y D ,BYD   ,BLK,2025,1,BYD
B Y D ,BYD MY,BLK,2026,1,BYD
B Y D ,BYD MY,GRY,2025,1,BYD
B Y D ,BYD MY,WHI,2026,1,BYD
B Y D ,DEALIO,WHI,2026,1,BYD
B Y D ,DOLPHI,BLU,2025,1,BYD
B Y D ,DOLPHI,BLU,2026,4,BYD
B Y D ,DOLPHI,GRY,2025,15,BYD
B Y D ,DOLPHI,GRY,2026,24,BYD
B Y D ,DOLPHI,WHI,2025,19,BYD
B Y D ,DOLPHI,WHI,2026,10,BYD
B Y D ,PAH   ,OGE,2025,1,BYD
B Y D ,PAH   ,WHI,2025,1,BYD
B Y D ,SA3   ,GRY,2025,1,BYD
B Y D ,SC3E  ,WHI,2025,1,BYD
B Y D ,SEAL  ,BLK,2025,7,BYD
B Y D ,SEAL  ,BLK,2026,15,BYD
B Y D ,SEAL  ,BLU,2025,3,BYD
B Y D ,SEAL  ,BLU,2026,1,BYD
B Y D ,SEAL  ,GRY,2025,24,BYD
B Y D ,SEAL  ,GRY,2026,19,BYD
B Y D ,SEAL  ,WHI,2025,27,BYD
B Y D ,SEAL  ,WHI,2026,2,BYD
B Y D ,SEAL 6,GRY,2025,1,BYD
B Y D ,SEALI ,BLK,2025,11,BYD
B Y D ,SEALI ,BLK,2026,4,BYD
B Y D ,SEALI ,GRN,2025,1,BYD
B Y D ,SEALI ,GRY,2025,15,BYD
B Y D ,SEALI ,GRY,2026,2,BYD
B Y D ,SEALI ,WHI,2025,13,BYD
B Y D ,SEALI ,WHI,2026,1,BYD
B Y D ,SEALIN,WHI,2026,1,BYD
B Y D ,SEALIO,AQU,2025,12,BYD
B Y D ,SEALIO,AQU,2026,8,BYD
